x_2 y_2 r_2 " " x_1 y_1 r_1 " " dx dy dr " " abs(dx+dy)% dr%
0.532 0.798 0.036 " " 0.533594 0.796094 0.035 " " 0.002 0.002 0.001 " " 0.202 0.1
0.381 0.601 0.031 " " 0.382812 0.602344 0.03 " " 0.002 0.002 0.001 " " 0.202 0.1
0.17 0.394 0.042 " " 0.171875 0.391406 0.043 " " 0.002 0.002 0.001 " " 0.202 0.1
0.656 0.647 0.033 " " 0.654688 0.646094 0.034 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.225 0.658 0.043 " " 0.225 0.659375 0.041 " " 0.0 0.002 0.002 " " 0.2 0.2
0.405 0.509 0.039 " " 0.403125 0.508594 0.039 " " 0.002 0.001 0.0 " " 0.10200000000000001 0.0
0.099 0.099 0.032 " " 0.1 0.0992187 0.029 " " 0.001 0.0 0.003 " " 0.001 0.3
0.295 0.259 0.042 " " 0.294531 0.260156 0.04 " " 0.0 0.002 0.002 " " 0.2 0.2
0.883 0.321 0.031 " " 0.882812 0.321875 0.036 " " 0.0 0.001 0.005 " " 0.1 0.5
0.93 0.412 0.034 " " 0.929688 0.4125 0.034 " " 0.001 0.001 0.0 " " 0.101 0.0
0.173 0.512 0.028 " " 0.171094 0.514844 0.029 " " 0.002 0.002 0.001 " " 0.202 0.1
0.724 0.677 0.03 " " 0.725781 0.677344 0.035 " " 0.002 0.0 0.005 " " 0.002 0.5
0.738 0.631 0.03 " " 0.736719 0.629687 0.036 " " 0.002 0.002 0.006 " " 0.202 0.6
0.609 0.229 0.038 " " 0.607813 0.226562 0.033 " " 0.001 0.002 0.005 " " 0.201 0.5
0.438 0.611 0.04 " " 0.438281 0.608594 0.039 " " 0.001 0.002 0.001 " " 0.201 0.1
0.892 0.48 0.032 " " 0.890625 0.479688 0.033 " " 0.002 0.0 0.001 " " 0.002 0.1
0.525 0.731 0.033 " " 0.526563 0.730469 0.036 " " 0.002 0.001 0.003 " " 0.10200000000000001 0.3
0.021 0.613 0.053 " " 0.0179687 0.609375 0.044 " " 0.003 0.003 0.009 " " 0.303 0.8999999999999999
