x_2 y_2 r_2 " " x_1 y_1 r_1 " " dx dy dr " " abs(dx+dy)% dr%
0.326 0.477 0.033 " " 0.325 0.478125 0.032 " " 0.001 0.001 0.001 " " 0.101 0.1
0.539 0.288 0.033 " " 0.540625 0.289062 0.034 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.846 0.159 0.042 " " 0.845312 0.158594 0.043 " " 0.001 0.001 0.001 " " 0.101 0.1
0.684 0.738 0.042 " " 0.683594 0.735156 0.04 " " 0.0 0.003 0.002 " " 0.3 0.2
0.209 0.698 0.058 " " 0.207813 0.701563 0.055 " " 0.002 0.004 0.003 " " 0.402 0.3
0.314 0.683 0.04 " " 0.314844 0.680469 0.038 " " 0.001 0.002 0.002 " " 0.201 0.2
0.121 0.373 0.038 " " 0.121094 0.373437 0.039 " " 0.0 0.001 0.001 " " 0.1 0.1
0.378 0.252 0.033 " " 0.376563 0.253906 0.032 " " 0.002 0.002 0.001 " " 0.202 0.1
0.432 0.43 0.027 " " 0.432031 0.432031 0.029 " " 0.0 0.002 0.002 " " 0.2 0.2
0.435 0.728 0.026 " " 0.436719 0.729688 0.026 " " 0.002 0.002 0.0 " " 0.202 0.0
0.336 0.321 0.031 " " 0.333594 0.31875 0.031 " " 0.002 0.002 0.0 " " 0.202 0.0
0.901 0.155 0.05 " " 0.903906 0.157813 0.052 " " 0.003 0.003 0.002 " " 0.303 0.2
0.138 0.537 0.048 " " 0.140625 0.533594 0.046 " " 0.002 0.004 0.002 " " 0.402 0.2
0.127 0.649 0.033 " " 0.128125 0.648438 0.036 " " 0.001 0.001 0.003 " " 0.101 0.3
0.176 0.579 0.034 " " 0.176563 0.578906 0.035 " " 0.001 0.0 0.001 " " 0.001 0.1
0.245 0.602 0.036 " " 0.244531 0.601562 0.039 " " 0.0 0.0 0.003 " " 0.0 0.3
0.191 0.373 0.026 " " 0.190625 0.371875 0.026 " " 0.0 0.002 0.0 " " 0.2 0.0
0.748 0.533 0.041 " " 0.747656 0.529688 0.038 " " 0.001 0.003 0.003 " " 0.301 0.3
0.153 0.14 0.077 " " 0.155469 0.128906 0.074 " " 0.002 0.011 0.003 " " 1.1019999999999999 0.3
0.293 0.522 0.034 " " 0.291406 0.523438 0.036 " " 0.002 0.002 0.002 " " 0.202 0.2
0.241 0.551 0.031 " " 0.242188 0.551562 0.031 " " 0.001 0.001 0.0 " " 0.101 0.0
0.983 0.212 0.03 " " 0.978906 0.208594 0.024 " " 0.004 0.004 0.006 " " 0.404 0.6
0.567 0.155 0.03 " " 0.567187 0.155469 0.029 " " 0.0 0.0 0.001 " " 0.0 0.1
0.582 0.102 0.033 " " 0.582812 0.102344 0.029 " " 0.001 0.0 0.004 " " 0.001 0.4
0.466 0.512 0.05 " " 0.463281 0.513281 0.048 " " 0.002 0.002 0.002 " " 0.202 0.2
0.814 0.412 0.047 " " 0.813281 0.413281 0.043 " " 0.001 0.002 0.004 " " 0.201 0.4
0.675 0.222 0.043 " " 0.675781 0.227344 0.047 " " 0.001 0.005 0.004 " " 0.501 0.4
0.58 0.06 0.021 " " 0.579687 0.0609375 0.024 " " 0.0 0.001 0.003 " " 0.1 0.3
0.614 0.154 0.029 " " 0.614062 0.154687 0.029 " " 0.0 0.001 0.0 " " 0.1 0.0
0.92 0.495 0.032 " " 0.917969 0.495313 0.033 " " 0.002 0.0 0.001 " " 0.002 0.1
0.81 0.085 0.038 " " 0.811719 0.0851562 0.034 " " 0.002 0.0 0.004 " " 0.002 0.4
0.248 0.661 0.036 " " 0.250781 0.6625 0.038 " " 0.002 0.002 0.002 " " 0.202 0.2
0.682 0.109 0.05 " " 0.682813 0.10625 0.052 " " 0.001 0.002 0.002 " " 0.201 0.2
0.104 0.752 0.049 " " 0.103125 0.751562 0.051 " " 0.001 0.001 0.002 " " 0.101 0.2
0.406 0.691 0.038 " " 0.409375 0.692969 0.033 " " 0.003 0.002 0.005 " " 0.203 0.5
0.475 0.716 0.028 " " 0.474219 0.717188 0.027 " " 0.001 0.001 0.001 " " 0.101 0.1
0.187 0.019 0.027 " " 0.1875 0.01875 0.024 " " 0.001 0.0 0.003 " " 0.001 0.3
0.289 0.566 0.028 " " 0.290625 0.567187 0.029 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.487 0.116 0.039 " " 0.492188 0.114844 0.043 " " 0.005 0.001 0.004 " " 0.10500000000000001 0.4
0.412 0.239 0.023 " " 0.410156 0.2375 0.024 " " 0.002 0.002 0.001 " " 0.202 0.1
0.084 0.666 0.023 " " 0.0851562 0.667969 0.026 " " 0.001 0.002 0.003 " " 0.201 0.3
0.055 0.28 0.113 " " 0.0515625 0.278125 0.113 " " 0.003 0.002 0.0 " " 0.203 0.0
0.42 0.396 0.028 " " 0.421094 0.39375 0.029 " " 0.001 0.002 0.001 " " 0.201 0.1
0.107 0.074 0.028 " " 0.110156 0.0734375 0.026 " " 0.003 0.001 0.002 " " 0.10300000000000001 0.2
0.655 0.153 0.032 " " 0.655469 0.153906 0.034 " " 0.0 0.001 0.002 " " 0.1 0.2
0.196 0.766 0.029 " " 0.192188 0.764844 0.027 " " 0.004 0.001 0.002 " " 0.10400000000000001 0.2
