x_2 y_2 r_2 " " x_1 y_1 r_1 " " dx dy dr " " abs(dx+dy)% dr%
0.209 0.705 0.04 " " 0.208594 0.704687 0.039 " " 0.0 0.0 0.001 " " 0.0 0.1
0.28 0.334 0.028 " " 0.279687 0.334375 0.028 " " 0.001 0.001 0.0 " " 0.101 0.0
0.591 0.563 0.023 " " 0.591406 0.561719 0.021 " " 0.001 0.002 0.002 " " 0.201 0.2
0.884 0.116 0.049 " " 0.884375 0.113281 0.052 " " 0.001 0.002 0.003 " " 0.201 0.3
0.332 0.548 0.031 " " 0.332031 0.546875 0.032 " " 0.0 0.001 0.001 " " 0.1 0.1
0.742 0.323 0.034 " " 0.742188 0.321094 0.032 " " 0.0 0.002 0.002 " " 0.2 0.2
0.42 0.581 0.032 " " 0.420312 0.583594 0.032 " " 0.001 0.002 0.0 " " 0.201 0.0
0.787 0.198 0.03 " " 0.788281 0.196875 0.032 " " 0.001 0.001 0.002 " " 0.101 0.2
0.127 0.289 0.026 " " 0.128125 0.292969 0.025 " " 0.001 0.004 0.001 " " 0.401 0.1
0.747 0.666 0.031 " " 0.746875 0.666406 0.032 " " 0.0 0.001 0.001 " " 0.1 0.1
0.377 0.384 0.025 " " 0.378906 0.384375 0.024 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.841 0.179 0.04 " " 0.839063 0.180469 0.037 " " 0.002 0.002 0.003 " " 0.202 0.3
0.407 0.285 0.037 " " 0.405469 0.283594 0.034 " " 0.002 0.002 0.003 " " 0.202 0.3
0.034 0.226 0.027 " " 0.0335938 0.227344 0.027 " " 0.001 0.002 0.0 " " 0.201 0.0
0.798 0.309 0.038 " " 0.796875 0.308594 0.038 " " 0.001 0.001 0.0 " " 0.101 0.0
0.215 0.648 0.033 " " 0.214844 0.65 0.03 " " 0.0 0.002 0.003 " " 0.2 0.3
0.654 0.567 0.031 " " 0.654688 0.564844 0.032 " " 0.001 0.002 0.001 " " 0.201 0.1
0.455 0.642 0.038 " " 0.455469 0.639844 0.033 " " 0.0 0.002 0.005 " " 0.2 0.5
0.041 0.302 0.029 " " 0.040625 0.302344 0.027 " " 0.0 0.0 0.002 " " 0.0 0.2
0.799 0.154 0.027 " " 0.8 0.153906 0.027 " " 0.001 0.0 0.0 " " 0.001 0.0
0.353 0.228 0.034 " " 0.353906 0.224219 0.033 " " 0.001 0.004 0.001 " " 0.401 0.1
0.488 0.618 0.027 " " 0.490625 0.620313 0.022 " " 0.002 0.002 0.005 " " 0.202 0.5
0.716 0.382 0.031 " " 0.714844 0.38125 0.035 " " 0.001 0.001 0.004 " " 0.101 0.4
0.159 0.151 0.05 " " 0.157813 0.151562 0.047 " " 0.001 0.001 0.003 " " 0.101 0.3
0.558 0.256 0.029 " " 0.557813 0.257812 0.029 " " 0.0 0.002 0.0 " " 0.2 0.0
0.633 0.241 0.05 " " 0.642187 0.242188 0.042 " " 0.009 0.001 0.008 " " 0.109 0.8
0.681 0.441 0.034 " " 0.679688 0.441406 0.036 " " 0.002 0.001 0.002 " " 0.10200000000000001 0.2
0.625 0.541 0.038 " " 0.624219 0.542188 0.04 " " 0.001 0.001 0.002 " " 0.101 0.2
0.875 0.242 0.046 " " 0.875 0.245312 0.043 " " 0.0 0.003 0.003 " " 0.3 0.3
0.734 0.595 0.052 " " 0.733594 0.594531 0.051 " " 0.001 0.001 0.001 " " 0.101 0.1
0.44 0.327 0.043 " " 0.435156 0.326562 0.038 " " 0.005 0.001 0.005 " " 0.10500000000000001 0.5
0.125 0.248 0.032 " " 0.124219 0.247656 0.032 " " 0.001 0.0 0.0 " " 0.001 0.0
0.27 0.377 0.031 " " 0.271875 0.375 0.029 " " 0.002 0.002 0.002 " " 0.202 0.2
0.711 0.481 0.027 " " 0.709375 0.480469 0.027 " " 0.002 0.001 0.0 " " 0.10200000000000001 0.0
0.157 0.672 0.056 " " 0.159375 0.670313 0.059 " " 0.002 0.002 0.003 " " 0.202 0.3
0.166 0.265 0.031 " " 0.165625 0.265625 0.025 " " 0.0 0.001 0.006 " " 0.1 0.6
0.692 0.206 0.043 " " 0.692187 0.207031 0.044 " " 0.0 0.001 0.001 " " 0.1 0.1
0.259 0.627 0.026 " " 0.259375 0.625 0.023 " " 0.001 0.002 0.003 " " 0.201 0.3
0.552 0.202 0.042 " " 0.555469 0.203125 0.039 " " 0.003 0.001 0.003 " " 0.10300000000000001 0.3
0.891 0.359 0.055 " " 0.892969 0.3625 0.061 " " 0.002 0.004 0.006 " " 0.402 0.6
0.752 0.233 0.029 " " 0.753125 0.23125 0.027 " " 0.001 0.002 0.002 " " 0.201 0.2
0.113 0.463 0.043 " " 0.110937 0.461719 0.039 " " 0.002 0.001 0.004 " " 0.10200000000000001 0.4
0.82 0.381 0.039 " " 0.821094 0.380469 0.039 " " 0.001 0.001 0.0 " " 0.101 0.0
0.399 0.227 0.026 " " 0.400781 0.228906 0.028 " " 0.002 0.002 0.002 " " 0.202 0.2
0.241 0.34 0.029 " " 0.2375 0.340625 0.03 " " 0.004 0.001 0.001 " " 0.10400000000000001 0.1
0.831 0.469 0.049 " " 0.83125 0.471875 0.05 " " 0.0 0.003 0.001 " " 0.3 0.1
0.37 0.609 0.044 " " 0.370313 0.611719 0.043 " " 0.001 0.003 0.001 " " 0.301 0.1
0.016 0.107 0.038 " " 0.0171875 0.10625 0.043 " " 0.002 0.001 0.005 " " 0.10200000000000001 0.5
0.538 0.446 0.032 " " 0.5375 0.444531 0.034 " " 0.001 0.002 0.002 " " 0.201 0.2
0.382 0.422 0.028 " " 0.382812 0.422656 0.027 " " 0.001 0.001 0.001 " " 0.101 0.1
0.689 0.304 0.037 " " 0.688281 0.304688 0.036 " " 0.001 0.001 0.001 " " 0.101 0.1
0.783 0.113 0.029 " " 0.780469 0.114844 0.032 " " 0.002 0.002 0.003 " " 0.202 0.3
0.116 0.02 0.023 " " 2 2 2 " " 2 2 2 " " 202 200
0.301 0.419 0.033 " " 0.302344 0.415625 0.035 " " 0.002 0.003 0.002 " " 0.302 0.2
0.666 0.508 0.036 " " 0.666406 0.507812 0.036 " " 0.0 0.0 0.0 " " 0.0 0.0
0.609 0.446 0.031 " " 0.610156 0.446875 0.033 " " 0.002 0.001 0.002 " " 0.10200000000000001 0.2
0.748 0.184 0.033 " " 0.746094 0.185937 0.033 " " 0.002 0.002 0.0 " " 0.202 0.0
0.759 0.413 0.033 " " 0.757812 0.414844 0.029 " " 0.002 0.002 0.004 " " 0.202 0.4
0.039 0.613 0.031 " " 2 2 2 " " 2 2 2 " " 202 200
0.978 0.142 0.04 " " 0.978125 0.139844 0.037 " " 0.0 0.002 0.003 " " 0.2 0.3
0.311 0.772 0.036 " " 0.310156 0.775 0.038 " " 0.001 0.003 0.002 " " 0.301 0.2
0.191 0.474 0.028 " " 0.190625 0.469531 0.03 " " 0.0 0.005 0.002 " " 0.5 0.2
0.374 0.487 0.028 " " 0.375781 0.4875 0.026 " " 0.002 0.0 0.002 " " 0.002 0.2
0.315 0.303 0.029 " " 0.314844 0.303125 0.025 " " 0.0 0.0 0.004 " " 0.0 0.4
0.511 0.481 0.031 " " 0.511719 0.485938 0.031 " " 0.001 0.005 0.0 " " 0.501 0.0
0.712 0.434 0.03 " " 0.714063 0.434375 0.028 " " 0.002 0.001 0.002 " " 0.10200000000000001 0.2
0.408 0.531 0.027 " " 0.407031 0.532812 0.027 " " 0.001 0.002 0.0 " " 0.201 0.0
0.026 0.518 0.03 " " 0.0265625 0.51875 0.029 " " 0.001 0.001 0.001 " " 0.101 0.1
0.209 0.752 0.022 " " 0.207813 0.751562 0.02 " " 0.001 0.0 0.002 " " 0.001 0.2
0.504 0.756 0.026 " " 0.504687 0.755469 0.028 " " 0.001 0.001 0.002 " " 0.101 0.2
0.333 0.343 0.029 " " 0.335938 0.344531 0.028 " " 0.003 0.002 0.001 " " 0.203 0.1
0.163 0.359 0.025 " " 0.164062 0.358594 0.023 " " 0.001 0.001 0.002 " " 0.101 0.2
0.113 0.388 0.029 " " 0.114844 0.389844 0.03 " " 0.002 0.002 0.001 " " 0.202 0.1
0.367 0.738 0.021 " " 0.366406 0.739844 0.021 " " 0.001 0.002 0.0 " " 0.201 0.0
0.066 0.2 0.033 " " 0.0679687 0.201562 0.033 " " 0.002 0.002 0.0 " " 0.202 0.0
0.252 0.745 0.036 " " 0.253906 0.746094 0.035 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.895 0.177 0.034 " " 0.895312 0.177344 0.034 " " 0.0 0.0 0.0 " " 0.0 0.0
0.305 0.248 0.031 " " 0.308594 0.249219 0.03 " " 0.003 0.002 0.001 " " 0.203 0.1
0.115 0.563 0.03 " " 0.115625 0.567969 0.032 " " 0.001 0.005 0.002 " " 0.501 0.2
0.233 0.283 0.028 " " 0.233594 0.282813 0.024 " " 0.001 0.0 0.004 " " 0.001 0.4
0.716 0.53 0.037 " " 0.717188 0.529688 0.034 " " 0.002 0.0 0.003 " " 0.002 0.3
0.255 0.438 0.027 " " 0.254687 0.439063 0.029 " " 0.001 0.002 0.002 " " 0.201 0.2
0.092 0.348 0.029 " " 0.090625 0.346875 0.028 " " 0.002 0.002 0.001 " " 0.202 0.1
0.054 0.11 0.029 " " 0.0546875 0.110156 0.029 " " 0.001 0.0 0.0 " " 0.001 0.0
0.631 0.312 0.025 " " 0.630469 0.314844 0.029 " " 0.001 0.002 0.004 " " 0.201 0.4
0.084 0.658 0.031 " " 0.084375 0.659375 0.028 " " 0.001 0.002 0.003 " " 0.201 0.3
0.089 0.411 0.028 " " 0.0882813 0.409375 0.026 " " 0.001 0.002 0.002 " " 0.201 0.2
0.82 0.565 0.045 " " 0.823438 0.566406 0.041 " " 0.003 0.002 0.004 " " 0.203 0.4
0.799 0.716 0.031 " " 0.8 0.719531 0.033 " " 0.001 0.003 0.002 " " 0.301 0.2
0.148 0.101 0.025 " " 0.151562 0.102344 0.025 " " 0.004 0.002 0.0 " " 0.20400000000000001 0.0
0.102 0.512 0.028 " " 0.102344 0.513281 0.026 " " 0.001 0.001 0.002 " " 0.101 0.2
0.571 0.695 0.033 " " 0.572656 0.695312 0.036 " " 0.002 0.0 0.003 " " 0.002 0.3
0.887 0.529 0.03 " " 0.8875 0.528125 0.029 " " 0.0 0.001 0.001 " " 0.1 0.1
0.5 0.548 0.029 " " 0.497656 0.55 0.026 " " 0.002 0.002 0.003 " " 0.202 0.3
0.445 0.539 0.024 " " 0.446094 0.539844 0.023 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.462 0.483 0.025 " " 0.460938 0.484375 0.025 " " 0.001 0.002 0.0 " " 0.201 0.0
0.106 0.187 0.027 " " 0.107813 0.184375 0.028 " " 0.002 0.002 0.001 " " 0.202 0.1
0.642 0.629 0.026 " " 0.641406 0.632031 0.027 " " 0.001 0.003 0.001 " " 0.301 0.1
0.024 0.353 0.026 " " 0.025 0.353906 0.025 " " 0.001 0.001 0.001 " " 0.101 0.1
0.016 0.166 0.026 " " 0.0164062 0.166406 0.026 " " 0.001 0.0 0.0 " " 0.001 0.0
0.836 0.692 0.041 " " 0.832031 0.694531 0.039 " " 0.004 0.002 0.002 " " 0.20400000000000001 0.2
0.119 0.613 0.022 " " 0.120312 0.614062 0.021 " " 0.002 0.002 0.001 " " 0.202 0.1
0.618 0.275 0.027 " " 0.617188 0.278125 0.027 " " 0.001 0.003 0.0 " " 0.301 0.0
0.353 0.297 0.038 " " 0.353125 0.294531 0.034 " " 0.0 0.002 0.004 " " 0.2 0.4
0.06 0.345 0.027 " " 0.0601562 0.34375 0.026 " " 0.0 0.001 0.001 " " 0.1 0.1
0.662 0.345 0.029 " " 0.661719 0.34375 0.029 " " 0.0 0.001 0.0 " " 0.1 0.0
0.059 0.516 0.034 " " 0.059375 0.509375 0.025 " " 0.0 0.007 0.009 " " 0.7000000000000001 0.8999999999999999
0.509 0.248 0.028 " " 0.504687 0.248437 0.026 " " 0.004 0.001 0.002 " " 0.10400000000000001 0.2
0.393 0.732 0.026 " " 0.390625 0.730469 0.025 " " 0.002 0.002 0.001 " " 0.202 0.1
0.733 0.045 0.046 " " 0.729688 0.0429688 0.045 " " 0.003 0.002 0.001 " " 0.203 0.1
0.086 0.249 0.024 " " 0.0851562 0.249219 0.022 " " 0.001 0.0 0.002 " " 0.001 0.2
0.155 0.448 0.033 " " 0.154687 0.453125 0.03 " " 0.0 0.005 0.003 " " 0.5 0.3
0.708 0.703 0.038 " " 0.70625 0.704687 0.034 " " 0.002 0.002 0.004 " " 0.202 0.4
0.415 0.645 0.036 " " 0.414062 0.640625 0.031 " " 0.001 0.005 0.005 " " 0.501 0.5
0.364 0.781 0.032 " " 0.364062 0.78125 0.029 " " 0.0 0.0 0.003 " " 0.0 0.3
0.988 0.277 0.023 " " 0.985937 0.278125 0.026 " " 0.002 0.001 0.003 " " 0.10200000000000001 0.3
0.988 0.234 0.022 " " 0.985937 0.232812 0.023 " " 0.002 0.002 0.001 " " 0.202 0.1
0.787 0.639 0.04 " " 0.786719 0.636719 0.039 " " 0.0 0.002 0.001 " " 0.2 0.1
0.456 0.591 0.023 " " 0.455469 0.589063 0.028 " " 0.001 0.002 0.005 " " 0.201 0.5
0.169 0.397 0.031 " " 0.171094 0.397656 0.031 " " 0.002 0.001 0.0 " " 0.10200000000000001 0.0
0.562 0.574 0.025 " " 0.563281 0.578125 0.026 " " 0.001 0.004 0.001 " " 0.401 0.1
0.857 0.083 0.024 " " 0.857031 0.0835937 0.023 " " 0.0 0.001 0.001 " " 0.1 0.1
0.637 0.43 0.038 " " 0.6375 0.428906 0.031 " " 0.0 0.001 0.007 " " 0.1 0.7000000000000001
0.541 0.634 0.024 " " 0.540625 0.632812 0.027 " " 0.0 0.001 0.003 " " 0.1 0.3
0.034 0.437 0.027 " " 0.034375 0.4375 0.028 " " 0.0 0.001 0.001 " " 0.1 0.1
0.283 0.538 0.031 " " 0.282813 0.539844 0.031 " " 0.0 0.002 0.0 " " 0.2 0.0
0.862 0.647 0.032 " " 0.863281 0.649219 0.03 " " 0.002 0.002 0.002 " " 0.202 0.2
0.79 0.236 0.022 " " 0.790625 0.233594 0.023 " " 0.001 0.002 0.001 " " 0.201 0.1
0.289 0.616 0.036 " " 0.288281 0.615625 0.037 " " 0.001 0.001 0.001 " " 0.101 0.1
0.37 0.548 0.024 " " 0.371094 0.55 0.026 " " 0.001 0.002 0.002 " " 0.201 0.2
0.554 0.487 0.033 " " 0.55625 0.490625 0.032 " " 0.002 0.004 0.001 " " 0.402 0.1
0.82 0.219 0.024 " " 0.822656 0.219531 0.026 " " 0.003 0.001 0.002 " " 0.10300000000000001 0.2
0.253 0.059 0.024 " " 0.25 0.0585938 0.022 " " 0.003 0.0 0.002 " " 0.003 0.2
0.155 0.056 0.023 " " 0.155469 0.05625 0.023 " " 0.0 0.0 0.0 " " 0.0 0.0
0.309 0.37 0.024 " " 0.307813 0.371094 0.024 " " 0.002 0.001 0.0 " " 0.10200000000000001 0.0
0.374 0.127 0.095 " " 0.375781 0.123438 0.092 " " 0.002 0.003 0.003 " " 0.302 0.3
0.221 0.549 0.032 " " 0.217187 0.550781 0.028 " " 0.004 0.002 0.004 " " 0.20400000000000001 0.4
0.854 0.043 0.024 " " 0.852344 0.0414063 0.024 " " 0.002 0.002 0.0 " " 0.202 0.0
0.786 0.449 0.026 " " 0.786719 0.45 0.028 " " 0.001 0.001 0.002 " " 0.101 0.2
0.294 0.045 0.022 " " 0.294531 0.0460938 0.019 " " 0.001 0.001 0.003 " " 0.101 0.3
0.341 0.491 0.028 " " 0.342187 0.489844 0.023 " " 0.002 0.001 0.005 " " 0.10200000000000001 0.5
0.695 0.63 0.029 " " 0.696094 0.627344 0.029 " " 0.001 0.002 0.0 " " 0.201 0.0
0.552 0.054 0.028 " " 2 2 2 " " 2 2 2 " " 202 200
0.006 0.439 0.02 " " 2 2 2 " " 2 2 2 " " 202 200
0.952 0.267 0.034 " " 0.953125 0.270312 0.032 " " 0.002 0.003 0.002 " " 0.302 0.2
0.217 0.477 0.018 " " 0.21875 0.477344 0.022 " " 0.002 0.0 0.004 " " 0.002 0.4
0.235 0.596 0.028 " " 0.236719 0.595312 0.025 " " 0.002 0.001 0.003 " " 0.10200000000000001 0.3
0.112 0.689 0.025 " " 0.1125 0.689844 0.022 " " 0.001 0.001 0.003 " " 0.101 0.3
0.584 0.36 0.043 " " 2 2 2 " " 2 2 2 " " 202 200
0.916 0.506 0.033 " " 0.917969 0.505469 0.029 " " 0.002 0.001 0.004 " " 0.10200000000000001 0.4
0.009 0.293 0.022 " " 0.0101562 0.29375 0.023 " " 0.001 0.001 0.001 " " 0.101 0.1
0.022 0.392 0.029 " " 2 2 2 " " 2 2 2 " " 202 200
0.411 0.387 0.032 " " 0.4125 0.38125 0.027 " " 0.002 0.005 0.005 " " 0.502 0.5
0.102 0.277 0.018 " " 0.102344 0.277344 0.019 " " 0.0 0.0 0.001 " " 0.0 0.1
0.202 0.273 0.022 " " 0.200781 0.270312 0.022 " " 0.002 0.002 0.0 " " 0.202 0.0
0.701 0.123 0.036 " " 0.699219 0.125781 0.04 " " 0.002 0.002 0.004 " " 0.202 0.4
0.527 0.529 0.024 " " 0.528906 0.528906 0.025 " " 0.002 0.0 0.001 " " 0.002 0.1
0.371 0.698 0.026 " " 2 2 2 " " 2 2 2 " " 202 200
0.414 0.751 0.025 " " 2 2 2 " " 2 2 2 " " 202 200
0.266 0.498 0.032 " " 0.267969 0.498437 0.029 " " 0.002 0.0 0.003 " " 0.002 0.3
0.819 0.076 0.026 " " 0.820312 0.0773437 0.028 " " 0.002 0.002 0.002 " " 0.202 0.2
0.894 0.473 0.032 " " 0.892969 0.472656 0.033 " " 0.001 0.001 0.001 " " 0.101 0.1
0.588 0.475 0.029 " " 0.588281 0.475781 0.029 " " 0.001 0.001 0.0 " " 0.101 0.0
0.863 0.555 0.026 " " 0.8625 0.557031 0.026 " " 0.0 0.002 0.0 " " 0.2 0.0
0.087 0.127 0.026 " " 0.0867188 0.124219 0.026 " " 0.0 0.002 0.0 " " 0.2 0.0
0.562 0.141 0.036 " " 0.560156 0.142188 0.033 " " 0.002 0.001 0.003 " " 0.10200000000000001 0.3
0.824 0.258 0.026 " " 0.825781 0.260938 0.026 " " 0.002 0.003 0.0 " " 0.302 0.0
0.92 0.273 0.03 " " 0.91875 0.273438 0.034 " " 0.001 0.0 0.004 " " 0.001 0.4
0.254 0.123 0.026 " " 0.254687 0.125781 0.024 " " 0.001 0.002 0.002 " " 0.201 0.2
0.504 0.408 0.026 " " 0.502344 0.407031 0.028 " " 0.002 0.001 0.002 " " 0.10200000000000001 0.2
0.627 0.166 0.042 " " 0.626562 0.16875 0.039 " " 0.001 0.003 0.003 " " 0.301 0.3
0.057 0.393 0.026 " " 0.0570313 0.391406 0.027 " " 0.0 0.002 0.001 " " 0.2 0.1
0.205 0.602 0.026 " " 0.204688 0.601562 0.025 " " 0.0 0.0 0.001 " " 0.0 0.1
0.951 0.34 0.029 " " 0.950781 0.339063 0.027 " " 0.0 0.001 0.002 " " 0.1 0.2
0.184 0.752 0.019 " " 0.185156 0.753125 0.017 " " 0.001 0.002 0.002 " " 0.201 0.2
0.545 0.738 0.026 " " 0.545313 0.739062 0.029 " " 0.0 0.001 0.003 " " 0.1 0.3
0.478 0.449 0.02 " " 0.477344 0.448438 0.024 " " 0.001 0.001 0.004 " " 0.101 0.4
0.941 0.44 0.031 " " 0.942969 0.442187 0.032 " " 0.002 0.002 0.001 " " 0.202 0.1
0.612 0.702 0.023 " " 0.608594 0.704687 0.026 " " 0.003 0.003 0.003 " " 0.303 0.3
0.74 0.275 0.022 " " 0.740625 0.271094 0.022 " " 0.001 0.004 0.0 " " 0.401 0.0
0.032 0.476 0.023 " " 0.0335938 0.475781 0.032 " " 0.002 0.0 0.009 " " 0.002 0.8999999999999999
0.823 0.114 0.022 " " 0.821875 0.115625 0.024 " " 0.001 0.002 0.002 " " 0.201 0.2
0.162 0.541 0.024 " " 0.164062 0.542969 0.026 " " 0.002 0.002 0.002 " " 0.202 0.2
0.199 0.1 0.028 " " 2 2 2 " " 2 2 2 " " 202 200
0.44 0.095 0.071 " " 0.440625 0.0992187 0.081 " " 0.001 0.005 0.01 " " 0.501 1.0
0.319 0.705 0.026 " " 0.317187 0.705469 0.025 " " 0.002 0.0 0.001 " " 0.002 0.1
0.61 0.598 0.023 " " 0.608594 0.596875 0.023 " " 0.002 0.001 0.0 " " 0.10200000000000001 0.0
0.941 0.177 0.022 " " 0.939844 0.179688 0.022 " " 0.001 0.002 0.0 " " 0.201 0.0
0.517 0.613 0.019 " " 0.507031 0.584375 0.023 " " 0.01 0.029 0.004 " " 2.91 0.4
0.273 0.673 0.03 " " 2 2 2 " " 2 2 2 " " 202 200
0.505 0.587 0.018 " " 2 2 2 " " 2 2 2 " " 202 200
0.014 0.589 0.02 " " 2 2 2 " " 2 2 2 " " 202 200
0.93 0.042 0.035 " " 0.928125 0.0429688 0.034 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.991 0.44 0.021 " " 0.989062 0.439844 0.024 " " 0.002 0.0 0.003 " " 0.002 0.3
0.248 0.704 0.019 " " 0.247656 0.705469 0.021 " " 0.0 0.002 0.002 " " 0.2 0.2
0.579 0.321 0.02 " " 0.58125 0.321094 0.022 " " 0.002 0.0 0.002 " " 0.002 0.2
0.577 0.599 0.023 " " 2 2 2 " " 2 2 2 " " 202 200
0.42 0.459 0.032 " " 0.420312 0.454688 0.029 " " 0.001 0.004 0.003 " " 0.401 0.3
0.043 0.261 0.023 " " 0.0429688 0.259375 0.025 " " 0.0 0.002 0.002 " " 0.2 0.2
0.676 0.377 0.022 " " 0.672656 0.373437 0.024 " " 0.003 0.003 0.002 " " 0.303 0.2
